district,property_type,bedrooms,bathrooms,size_sqm,year_built,has_garage,has_garden,has_swimming_pool,has_security,is_gated_community,distance_to_cbd_km,road_condition,price_usd
Gasabo,Townhouse,3,3,91,2015,1,1,0,1,1,16.4,Gravel,246300
Nyarugenge,Apartment,3,3,90,2018,1,0,1,0,0,0.5,Tarmac,289000
Rubavu,Townhouse,4,4,106,2016,0,1,0,1,1,6.1,Dirt,167900
Kicukiro,Apartment,1,1,40,2007,1,1,0,1,0,16.5,Gravel,152500
Kicukiro,Apartment,2,1,40,1999,0,1,1,1,1,1.0,Tarmac,201900
Gasabo,Apartment,4,4,140,1994,0,0,0,0,0,32.4,Tarmac,190100
Kicukiro,Apartment,3,2,85,1999,0,0,0,1,1,0.5,Tarmac,218200
Kicukiro,Standalone Villa,5,5,142,2010,0,0,0,0,0,17.4,Tarmac,298700
Gasabo,Standalone Villa,4,3,143,2013,0,1,0,1,0,3.5,Tarmac,353100
Gasabo,Bungalow,5,4,131,1992,1,0,0,1,1,1.1,Dirt,263000
Kicukiro,Bungalow,4,3,103,2020,1,1,0,0,0,1.4,Gravel,236600
Gasabo,Standalone Villa,2,1,43,1991,0,0,0,1,1,9.7,Tarmac,290100
Kicukiro,Townhouse,2,2,58,1991,0,0,0,1,1,16.4,Tarmac,204600
Gasabo,Apartment,4,3,126,2023,1,0,0,0,0,8.2,Tarmac,244100
Kicukiro,Standalone Villa,3,3,101,2009,0,0,0,1,0,21.1,Tarmac,262400
Gasabo,Townhouse,1,1,68,2022,1,1,0,1,1,14.8,Tarmac,234400
Rubavu,Apartment,3,2,56,1993,0,0,0,1,0,0.5,Gravel,123600
Nyarugenge,Apartment,5,4,159,2000,0,1,0,1,0,8.9,Dirt,228800
Nyarugenge,Apartment,3,3,81,1994,0,1,0,0,1,2.9,Tarmac,231100
Musanze,Standalone Villa,3,2,81,2014,1,1,1,1,1,4.8,Tarmac,258000
Kicukiro,Standalone Villa,3,3,80,2023,1,0,0,1,0,0.8,Tarmac,303300
Gasabo,Standalone Villa,2,2,46,1998,0,1,0,0,0,2.7,Dirt,244200
Kicukiro,Standalone Villa,3,2,115,1995,1,0,0,1,1,8.0,Tarmac,311000
Nyarugenge,Standalone Villa,3,3,102,2007,0,1,0,1,0,2.0,Gravel,338300
Nyarugenge,Townhouse,2,1,60,2003,0,0,0,1,0,8.3,Dirt,204100
Kicukiro,Apartment,4,4,140,2008,1,0,0,1,1,20.5,Tarmac,240400
Gasabo,Townhouse,3,3,67,2003,1,1,0,0,0,0.5,Gravel,221500
Gasabo,Townhouse,4,3,100,2006,0,1,0,0,0,12.3,Tarmac,242700
Kicukiro,Townhouse,4,4,87,2018,0,0,1,0,0,8.2,Gravel,218100
Nyarugenge,Townhouse,2,2,49,2006,1,0,0,1,0,0.5,Tarmac,259600
Nyarugenge,Standalone Villa,3,2,92,1997,1,1,0,0,0,12.5,Dirt,271500
Kicukiro,Apartment,3,3,91,1990,1,0,0,0,0,2.0,Dirt,177200
Huye,Standalone Villa,4,3,122,1996,0,0,0,0,1,2.5,Gravel,162200
Nyarugenge,Bungalow,2,2,40,1994,1,1,0,0,1,0.8,Tarmac,250300
Gasabo,Standalone Villa,3,2,102,2013,0,1,0,1,0,6.1,Gravel,288900
Gasabo,Apartment,3,2,93,2017,1,1,0,1,0,5.5,Tarmac,243600
Gasabo,Apartment,2,1,70,2006,0,1,0,0,1,3.4,Tarmac,225600
Gasabo,Bungalow,2,2,40,2009,0,0,0,1,0,1.5,Tarmac,213100
Gasabo,Apartment,3,2,94,1992,0,1,0,1,0,14.6,Gravel,195800
Gasabo,Apartment,4,3,102,2015,1,0,0,1,1,16.7,Gravel,232900
Gasabo,Standalone Villa,3,2,84,2004,1,0,0,1,0,6.2,Dirt,274700
Gasabo,Bungalow,3,3,98,1997,0,1,0,1,0,2.2,Gravel,242900
Rubavu,Apartment,3,2,91,2002,1,0,0,0,1,0.8,Gravel,119800
Gasabo,Standalone Villa,4,3,107,1992,1,1,0,1,0,16.2,Dirt,279300
Kicukiro,Townhouse,2,2,60,1990,0,0,0,1,0,0.8,Dirt,160100
Kicukiro,Apartment,4,4,97,1998,1,0,0,0,0,0.5,Tarmac,229400
Huye,Bungalow,2,1,77,2020,1,1,0,0,0,5.1,Tarmac,123800
Gasabo,Standalone Villa,3,3,86,2015,0,0,0,1,1,10.5,Tarmac,325900
Kicukiro,Standalone Villa,2,1,76,2006,0,0,0,1,1,4.9,Gravel,255700
Huye,Bungalow,2,1,52,2023,0,0,0,1,0,0.5,Gravel,102400
Rubavu,Bungalow,3,2,82,1998,0,0,0,1,0,9.4,Dirt,103900
Musanze,Standalone Villa,2,2,48,2002,0,0,0,1,1,8.2,Dirt,136800
Gasabo,Apartment,4,4,133,1994,1,1,0,0,0,9.2,Tarmac,229400
Gasabo,Townhouse,1,1,40,2002,1,0,0,1,0,1.9,Tarmac,227300
Nyarugenge,Standalone Villa,3,3,99,1990,0,1,0,1,0,12.7,Tarmac,322600
Rubavu,Bungalow,3,2,84,2014,1,0,0,1,0,5.2,Tarmac,133300
Nyarugenge,Bungalow,1,1,40,1993,1,0,0,0,0,6.1,Tarmac,203100
Nyarugenge,Apartment,2,2,51,1999,1,0,0,0,0,6.3,Dirt,161700
Gasabo,Bungalow,3,3,72,2017,0,0,0,1,1,2.7,Tarmac,245000
Musanze,Standalone Villa,3,3,90,1995,1,0,0,1,1,2.3,Gravel,197000
Gasabo,Townhouse,3,2,72,2016,1,0,1,1,0,0.5,Tarmac,297300
Kicukiro,Apartment,3,3,103,2001,0,0,0,1,0,4.0,Tarmac,200400
Kicukiro,Bungalow,3,3,88,1992,0,0,0,1,0,5.3,Dirt,189100
Kicukiro,Townhouse,1,1,40,2022,0,1,0,1,0,10.9,Gravel,183700
Gasabo,Townhouse,3,3,99,1999,1,1,0,0,0,0.6,Tarmac,259600
Gasabo,Bungalow,5,5,164,2020,0,0,0,0,0,20.6,Dirt,214400
Nyarugenge,Standalone Villa,3,2,89,2004,1,1,0,1,0,2.5,Tarmac,376200
Gasabo,Standalone Villa,3,3,78,1996,1,1,1,0,0,3.7,Gravel,327200
Nyarugenge,Bungalow,3,3,63,2003,0,0,0,1,1,0.5,Tarmac,258500
Gasabo,Townhouse,4,4,109,2003,1,1,0,1,0,8.5,Gravel,271500
Kicukiro,Bungalow,4,3,110,1992,0,1,0,1,0,9.9,Tarmac,206100
Kicukiro,Bungalow,3,3,91,1992,0,0,0,1,0,21.1,Gravel,162300
Gasabo,Standalone Villa,5,5,144,2011,1,1,1,1,0,3.3,Gravel,351800
Kicukiro,Standalone Villa,2,1,70,2008,1,1,0,1,1,2.4,Tarmac,303800
Gasabo,Apartment,1,1,40,2001,0,0,0,1,0,10.4,Dirt,127200
Gasabo,Townhouse,4,4,119,1994,1,0,0,0,1,9.8,Tarmac,281200
Huye,Standalone Villa,4,4,137,1999,0,1,0,0,0,22.1,Dirt,116600
Kicukiro,Townhouse,2,1,65,2022,0,1,0,1,1,1.8,Tarmac,240000
Musanze,Apartment,2,2,59,2002,0,0,1,1,0,9.8,Gravel,124000
Gasabo,Apartment,1,1,40,2021,0,0,0,1,0,0.6,Gravel,165200
Nyarugenge,Apartment,2,1,50,2000,1,1,0,0,0,5.2,Tarmac,217800
Musanze,Apartment,4,4,107,2013,1,0,1,0,0,1.0,Tarmac,196700
Nyarugenge,Townhouse,3,3,81,2008,0,1,0,1,0,8.5,Tarmac,276600
Kicukiro,Apartment,3,3,101,1995,0,0,0,1,0,7.4,Gravel,200400
Kicukiro,Apartment,3,2,86,1993,0,0,0,1,1,0.5,Dirt,196500
Kicukiro,Apartment,1,1,40,2022,0,0,0,1,0,3.1,Tarmac,166200
Rubavu,Townhouse,2,2,86,2002,1,0,0,1,0,4.0,Tarmac,132900
Musanze,Townhouse,3,3,94,2008,1,0,1,1,0,2.3,Gravel,172000
Huye,Apartment,5,4,128,2001,1,1,0,0,0,0.5,Tarmac,157800
Gasabo,Townhouse,4,4,113,2000,0,1,0,1,0,3.1,Dirt,245700
Nyarugenge,Standalone Villa,1,1,40,1995,0,0,0,1,0,12.6,Tarmac,268600
Huye,Apartment,4,4,145,2001,0,1,0,1,0,3.6,Tarmac,151800
Gasabo,Townhouse,4,4,103,2016,0,0,0,1,1,3.1,Gravel,268000
Gasabo,Apartment,4,4,134,2014,0,0,0,0,1,22.7,Tarmac,225900
Nyarugenge,Townhouse,3,3,110,1992,0,0,0,1,0,0.5,Gravel,247400
Nyarugenge,Apartment,3,3,80,1992,0,0,0,0,0,11.7,Tarmac,197700
Musanze,Bungalow,3,3,85,2009,1,1,0,0,0,5.3,Tarmac,141700
Gasabo,Apartment,2,1,44,2017,1,1,0,1,0,23.1,Gravel,170900
Musanze,Standalone Villa,2,1,56,2012,0,0,0,0,0,4.0,Tarmac,160700
Gasabo,Bungalow,2,1,59,1992,1,1,0,1,0,9.8,Tarmac,227500
Gasabo,Apartment,3,3,99,2013,0,0,1,0,0,0.6,Dirt,223400
Gasabo,Standalone Villa,4,4,136,1995,0,0,0,0,0,21.1,Dirt,257400
Musanze,Standalone Villa,3,3,78,2009,1,0,0,0,0,3.4,Dirt,179300
Nyarugenge,Standalone Villa,2,1,40,2000,0,1,0,0,0,5.9,Dirt,251700
Kicukiro,Apartment,5,4,149,2021,1,0,0,1,0,1.2,Tarmac,274100
Kicukiro,Apartment,5,5,154,2016,0,1,0,1,0,23.3,Tarmac,224900
Rubavu,Townhouse,4,4,123,2010,1,0,0,1,1,8.9,Tarmac,193200
Kicukiro,Standalone Villa,5,5,145,2002,1,0,0,0,1,0.5,Dirt,306100
Musanze,Townhouse,3,3,91,2011,1,1,0,1,0,1.3,Gravel,166700
Kicukiro,Apartment,5,5,172,2011,1,0,1,1,0,4.1,Gravel,293700
Kicukiro,Apartment,2,1,65,2017,1,1,0,0,0,2.0,Dirt,159300
Kicukiro,Standalone Villa,3,2,84,2010,1,1,0,1,0,2.9,Gravel,269700
Kicukiro,Standalone Villa,2,2,52,2007,0,1,0,1,1,40.0,Tarmac,239400
Nyarugenge,Standalone Villa,2,2,57,2020,0,0,0,1,0,8.6,Tarmac,327300
Kicukiro,Apartment,2,1,84,2010,1,0,0,1,1,20.4,Tarmac,190700
Gasabo,Apartment,3,3,87,2003,1,1,0,1,0,4.6,Tarmac,241500
Rubavu,Apartment,4,4,119,2014,1,1,0,0,1,9.9,Tarmac,177800
Kicukiro,Apartment,3,3,82,2016,0,1,0,1,1,4.9,Gravel,215700
Kicukiro,Apartment,2,2,76,2012,0,0,0,1,1,3.2,Tarmac,209200
Rubavu,Townhouse,4,4,149,2020,1,0,0,0,0,5.9,Gravel,165800
Nyarugenge,Standalone Villa,3,2,96,2018,1,1,0,1,1,4.5,Tarmac,388000
Gasabo,Standalone Villa,3,3,91,2019,1,0,0,1,0,31.5,Dirt,234900
Huye,Apartment,3,3,90,2015,0,0,1,1,1,5.5,Gravel,145700
Nyarugenge,Apartment,2,1,40,2009,0,0,0,1,0,13.3,Dirt,162000
Kicukiro,Standalone Villa,3,3,101,2008,0,0,0,0,0,8.8,Tarmac,278900
Gasabo,Bungalow,5,4,152,2016,0,1,0,1,1,5.2,Tarmac,298800
Musanze,Townhouse,2,1,66,2014,1,1,0,1,1,5.1,Tarmac,174900
Nyarugenge,Townhouse,3,3,79,2012,0,0,0,1,1,3.3,Tarmac,286200
Kicukiro,Townhouse,4,3,114,2018,0,0,0,1,0,0.9,Tarmac,254800
Rubavu,Standalone Villa,4,4,113,2004,0,1,0,1,1,11.5,Tarmac,188600
Musanze,Apartment,2,1,75,1992,0,0,0,1,1,20.0,Tarmac,106200
Gasabo,Townhouse,2,2,54,1999,1,1,0,1,0,2.0,Dirt,200000
Kicukiro,Apartment,1,1,61,2004,0,1,0,1,1,20.8,Tarmac,160800
Gasabo,Standalone Villa,3,2,96,2005,0,1,0,0,0,2.1,Dirt,271800
Nyarugenge,Townhouse,3,3,70,2006,1,1,0,0,0,6.0,Tarmac,280200
Gasabo,Townhouse,2,2,58,2008,0,0,0,1,0,3.4,Tarmac,247100
Nyarugenge,Apartment,5,4,140,2000,1,1,1,1,0,1.0,Tarmac,333700
Musanze,Standalone Villa,3,2,57,1994,0,0,1,1,1,0.5,Gravel,200500
Rubavu,Townhouse,2,2,83,1994,1,0,0,1,0,3.6,Gravel,132000
Kicukiro,Townhouse,3,2,100,2003,0,0,0,0,0,0.5,Gravel,210500
Musanze,Townhouse,3,3,97,2015,0,0,0,1,0,0.9,Tarmac,174600
Gasabo,Bungalow,2,2,62,1997,0,0,0,1,0,1.2,Tarmac,216800
Musanze,Apartment,2,2,40,1994,0,0,1,1,0,0.5,Tarmac,146500
Gasabo,Standalone Villa,4,4,112,1996,0,1,0,0,0,1.3,Tarmac,325400
Kicukiro,Apartment,3,2,102,2005,0,1,0,1,0,6.9,Dirt,161700
Musanze,Apartment,3,3,74,2003,1,0,1,0,1,13.7,Dirt,153600
Gasabo,Bungalow,3,2,52,1993,1,1,0,1,1,1.7,Tarmac,255900
Gasabo,Bungalow,1,1,40,2006,0,0,0,1,0,0.7,Gravel,183500
Nyarugenge,Apartment,2,2,57,1995,0,1,0,0,0,10.5,Gravel,195500
Nyarugenge,Apartment,3,3,92,2005,1,0,0,1,0,0.5,Tarmac,250700
Nyarugenge,Apartment,2,2,70,2018,1,1,0,1,0,10.6,Tarmac,246100
Nyarugenge,Townhouse,1,1,40,1999,0,0,0,1,1,1.1,Tarmac,264100
Kicukiro,Apartment,4,4,123,2018,0,1,0,1,0,2.1,Gravel,236600
Gasabo,Apartment,5,5,167,2003,0,0,0,0,0,1.0,Tarmac,269700
Kicukiro,Apartment,4,4,97,1993,0,0,1,0,0,2.3,Dirt,217800
Gasabo,Standalone Villa,4,4,127,2002,1,0,0,1,1,12.8,Tarmac,336100
Rubavu,Bungalow,2,2,69,2007,1,0,0,1,0,1.1,Tarmac,138200
Nyarugenge,Apartment,5,4,131,2022,1,1,0,1,0,40.0,Tarmac,251700
Kicukiro,Standalone Villa,2,1,40,2010,0,1,0,0,0,3.2,Gravel,240600
Kicukiro,Apartment,5,5,138,2005,0,0,0,0,0,20.4,Gravel,189800
Huye,Standalone Villa,5,5,140,2004,1,1,0,1,1,1.7,Gravel,222700
Gasabo,Townhouse,4,4,131,1994,0,0,0,1,0,1.7,Tarmac,273200
Nyarugenge,Apartment,5,4,140,1995,0,1,0,0,1,6.7,Tarmac,264800
Kicukiro,Apartment,3,3,77,1992,0,0,0,1,0,0.5,Tarmac,188400
Nyarugenge,Townhouse,2,2,50,2001,1,1,1,0,0,12.9,Tarmac,285100
Gasabo,Apartment,3,3,106,2022,0,0,0,1,0,4.6,Gravel,214100
Rubavu,Townhouse,3,3,90,2022,0,1,1,1,1,9.6,Tarmac,197400
Huye,Standalone Villa,2,2,57,2020,1,0,0,1,0,1.5,Tarmac,165800
Nyarugenge,Apartment,3,2,88,2010,1,1,0,1,0,8.2,Tarmac,256000
Nyarugenge,Townhouse,5,5,169,2016,0,1,1,1,0,7.2,Tarmac,346600
Rubavu,Townhouse,2,1,48,2016,1,0,0,1,1,11.3,Gravel,135700
Nyarugenge,Standalone Villa,4,4,139,1997,0,1,0,0,1,2.8,Gravel,357800
Gasabo,Apartment,5,5,153,2021,0,1,0,1,1,21.6,Gravel,251700
Nyarugenge,Standalone Villa,5,4,147,2015,1,1,0,1,0,26.0,Gravel,331400
Nyarugenge,Standalone Villa,5,5,187,1991,0,1,0,0,0,16.2,Tarmac,365600
Kicukiro,Standalone Villa,3,2,74,2001,0,1,0,1,0,6.8,Gravel,244800
Nyarugenge,Townhouse,5,5,144,2011,1,1,0,1,0,4.4,Tarmac,344000
Huye,Apartment,4,4,101,2006,1,1,0,1,1,0.5,Gravel,183200
Rubavu,Standalone Villa,2,1,74,1996,0,0,0,0,1,23.5,Gravel,124000
Kicukiro,Standalone Villa,3,3,115,1993,0,1,0,1,1,24.3,Gravel,257600
Gasabo,Apartment,4,3,145,2021,0,1,0,0,0,0.5,Tarmac,256800
Huye,Townhouse,2,2,78,2000,0,1,0,1,1,3.5,Dirt,124900
Musanze,Apartment,3,2,87,1990,0,0,0,1,1,17.0,Gravel,111300
Gasabo,Apartment,3,3,84,2014,0,0,0,1,0,0.7,Gravel,213800
Rubavu,Bungalow,2,2,40,2013,1,1,0,1,0,1.8,Tarmac,122900
Rubavu,Apartment,3,2,120,2006,0,1,0,1,0,30.8,Tarmac,106900
Kicukiro,Apartment,4,3,127,1997,0,0,1,0,0,15.0,Tarmac,230400
Nyarugenge,Standalone Villa,3,2,82,2016,0,0,0,1,1,19.4,Tarmac,339400
Kicukiro,Bungalow,1,1,49,2007,0,0,0,1,0,1.2,Gravel,172700
Gasabo,Bungalow,1,1,40,2016,1,1,0,0,0,1.9,Dirt,183400
Kicukiro,Standalone Villa,3,3,96,2011,0,0,0,0,0,7.4,Tarmac,266900
Musanze,Apartment,5,5,147,2005,1,1,0,1,0,5.6,Gravel,176700
Gasabo,Bungalow,2,2,69,1991,1,1,0,1,0,2.8,Tarmac,231800
Kicukiro,Standalone Villa,3,3,89,1994,1,1,0,1,1,17.2,Tarmac,302700
Kicukiro,Standalone Villa,2,2,40,2007,0,0,0,0,0,18.5,Dirt,181800
Kicukiro,Townhouse,3,3,91,1992,1,1,0,0,1,2.8,Gravel,239400
Rubavu,Standalone Villa,4,4,135,2016,0,1,0,1,1,1.4,Tarmac,223800
Kicukiro,Apartment,4,3,119,2006,0,0,0,1,0,1.3,Tarmac,206700
Kicukiro,Townhouse,2,2,71,2005,0,0,0,1,1,5.3,Tarmac,228200
Nyarugenge,Standalone Villa,3,3,74,1995,0,1,0,1,0,1.1,Tarmac,336500
Kicukiro,Apartment,1,1,40,1996,0,1,0,1,0,5.1,Tarmac,171900
Gasabo,Apartment,3,2,80,2003,0,1,0,1,0,5.0,Tarmac,219100
Kicukiro,Standalone Villa,3,2,101,2004,0,0,0,0,0,17.2,Gravel,234700
Gasabo,Apartment,2,1,60,2022,1,0,0,0,0,2.8,Tarmac,211700
Gasabo,Apartment,2,2,70,2016,0,0,0,0,1,6.6,Tarmac,211900
Kicukiro,Townhouse,3,3,106,2018,0,1,0,0,0,10.9,Gravel,201400
Kicukiro,Bungalow,5,5,160,1994,1,1,1,0,0,7.2,Dirt,264500
Rubavu,Standalone Villa,5,5,154,2018,0,0,0,0,1,24.6,Dirt,167100
Kicukiro,Townhouse,1,1,40,2021,1,0,0,1,1,7.4,Gravel,199000
Nyarugenge,Townhouse,4,4,119,1995,1,1,0,0,0,18.6,Tarmac,283000
Nyarugenge,Townhouse,3,3,82,1991,0,1,0,0,0,2.2,Tarmac,258900
Gasabo,Apartment,3,2,84,1995,0,0,0,1,0,6.6,Dirt,170300
Nyarugenge,Bungalow,4,3,114,1993,1,1,0,1,0,6.3,Dirt,256900
Gasabo,Standalone Villa,5,5,135,2018,1,1,0,1,0,36.4,Gravel,303900
Huye,Apartment,5,5,120,2014,1,0,0,1,1,1.8,Tarmac,178200
Gasabo,Apartment,3,3,79,1998,0,0,1,1,0,1.2,Tarmac,225000
Kicukiro,Townhouse,3,3,92,1992,1,0,0,0,0,7.6,Dirt,202200
Gasabo,Apartment,4,3,99,2015,0,0,0,0,1,2.0,Tarmac,240300
Huye,Apartment,2,2,60,2016,0,1,0,1,0,8.2,Gravel,91600
Kicukiro,Townhouse,3,2,118,2021,0,0,0,0,0,28.7,Dirt,159800
Nyarugenge,Bungalow,3,3,105,1990,0,0,0,0,0,23.4,Gravel,189700
Gasabo,Townhouse,3,2,114,2005,1,1,0,1,1,2.1,Tarmac,290700
Nyarugenge,Apartment,2,2,65,2000,1,0,0,0,1,1.5,Tarmac,240100
Gasabo,Apartment,2,1,77,2015,1,1,0,1,1,6.6,Tarmac,242000
Rubavu,Townhouse,5,5,139,1990,0,0,0,1,0,7.1,Gravel,163900
Gasabo,Apartment,2,1,50,2015,1,0,0,1,1,8.7,Tarmac,233000
Gasabo,Townhouse,3,3,48,2017,1,1,1,1,0,10.8,Tarmac,291900
Gasabo,Apartment,2,2,77,1998,0,0,0,0,0,7.3,Tarmac,184500
Kicukiro,Bungalow,1,1,53,2011,1,1,0,1,0,0.9,Tarmac,199500
Nyarugenge,Standalone Villa,1,1,40,1997,1,0,0,0,0,12.5,Dirt,256800
Gasabo,Apartment,2,1,56,2016,1,1,0,0,0,0.7,Gravel,192000
Musanze,Bungalow,4,3,108,2008,0,1,0,1,0,0.5,Tarmac,177300
Kicukiro,Apartment,2,1,65,2014,1,0,0,1,0,11.7,Dirt,160100
Kicukiro,Apartment,5,5,166,2010,1,1,0,0,0,6.4,Gravel,240100
Kicukiro,Townhouse,3,3,63,2013,0,0,0,1,1,9.6,Gravel,208100
Kicukiro,Apartment,3,3,96,2013,1,1,0,1,1,3.9,Gravel,247000
Nyarugenge,Standalone Villa,3,2,85,2008,0,0,0,0,0,0.5,Gravel,328600
Gasabo,Apartment,3,3,91,1991,1,1,0,1,0,3.2,Tarmac,240900
Gasabo,Apartment,4,4,126,2003,1,0,0,0,0,7.5,Gravel,217300
Rubavu,Apartment,2,2,57,2021,1,1,0,1,0,2.0,Gravel,140500
Huye,Townhouse,3,2,88,2021,1,1,0,0,1,9.3,Tarmac,139300
Kicukiro,Townhouse,4,4,116,2017,0,1,0,1,0,12.7,Tarmac,255100
Gasabo,Apartment,5,5,164,2002,0,0,0,0,0,4.8,Tarmac,245300
Nyarugenge,Apartment,4,4,126,2001,1,1,0,1,0,16.7,Tarmac,261600
Kicukiro,Bungalow,3,3,93,1997,0,0,0,1,1,15.4,Tarmac,217200
Gasabo,Bungalow,4,4,100,2004,0,0,0,1,0,16.8,Gravel,183500
Gasabo,Standalone Villa,3,2,84,2015,0,0,1,0,1,8.7,Tarmac,332700
Nyarugenge,Townhouse,3,2,103,2001,0,0,0,0,0,2.9,Tarmac,270900
Nyarugenge,Townhouse,2,1,60,2016,1,1,0,1,1,5.3,Dirt,237400
Gasabo,Apartment,3,3,99,2007,1,0,1,1,1,9.9,Gravel,247300
Gasabo,Apartment,2,1,86,2016,0,1,0,1,0,1.9,Tarmac,217700
Gasabo,Apartment,3,3,105,1998,0,0,0,1,1,10.7,Tarmac,239700
Nyarugenge,Townhouse,4,4,121,1990,0,0,0,1,1,6.4,Gravel,294800
Gasabo,Townhouse,2,1,52,1996,0,1,0,0,1,0.8,Gravel,231300
Gasabo,Townhouse,2,2,40,2015,0,0,0,1,1,6.5,Tarmac,256200
Musanze,Apartment,2,2,57,1996,0,0,0,0,0,0.6,Dirt,91000
Gasabo,Townhouse,5,4,145,1996,1,0,0,0,0,0.5,Gravel,285500
Nyarugenge,Townhouse,3,3,95,1997,1,0,0,1,1,17.6,Dirt,225100
Gasabo,Bungalow,3,2,87,2005,0,1,0,1,0,5.4,Tarmac,260900
Gasabo,Apartment,4,4,115,1992,1,0,0,0,1,6.3,Tarmac,256600
Gasabo,Townhouse,4,3,93,1999,1,0,0,0,0,2.6,Tarmac,276000
Nyarugenge,Apartment,3,3,75,1996,0,1,0,0,0,6.3,Tarmac,213200
Rubavu,Townhouse,3,3,97,2010,0,1,1,1,1,1.5,Tarmac,204100
Musanze,Townhouse,4,3,145,2020,1,0,1,0,1,11.0,Tarmac,221500
Kicukiro,Apartment,3,3,88,2012,0,1,0,1,0,13.9,Gravel,188400
Nyarugenge,Townhouse,2,2,64,2016,1,0,0,0,0,15.5,Tarmac,248900
Gasabo,Apartment,4,4,134,2011,1,0,0,1,1,0.9,Tarmac,280800
Gasabo,Townhouse,3,3,77,2016,0,0,0,0,1,6.5,Dirt,216500
Rubavu,Apartment,2,2,65,1993,1,1,0,0,0,13.2,Tarmac,103200
Gasabo,Townhouse,3,3,78,2013,1,0,0,1,0,1.1,Tarmac,283000
Gasabo,Bungalow,1,1,42,2012,0,1,0,1,0,0.8,Gravel,187900
Gasabo,Apartment,2,2,62,2008,0,0,0,0,1,13.6,Dirt,188000
Gasabo,Standalone Villa,4,4,124,1992,1,0,0,1,0,12.7,Dirt,276900
Gasabo,Standalone Villa,1,1,40,2016,1,1,0,1,0,4.8,Tarmac,308000
Nyarugenge,Apartment,3,3,100,1992,1,0,0,0,0,0.9,Dirt,224900
Kicukiro,Standalone Villa,3,2,121,2017,1,0,0,0,0,5.8,Tarmac,282000
Rubavu,Townhouse,2,2,44,2006,0,0,0,1,0,4.0,Gravel,95500
Musanze,Bungalow,5,4,144,2020,0,0,0,1,0,5.8,Tarmac,176200
Kicukiro,Bungalow,2,2,63,1999,0,0,0,0,1,4.6,Gravel,169600
Gasabo,Standalone Villa,3,2,101,2011,0,0,0,0,0,6.7,Tarmac,300300
Kicukiro,Townhouse,3,3,81,2019,1,0,0,1,0,10.4,Gravel,220000
Nyarugenge,Townhouse,2,1,40,2010,1,0,0,1,0,11.9,Gravel,232000
Gasabo,Standalone Villa,1,1,50,2012,1,1,0,1,1,8.4,Tarmac,306800
Nyarugenge,Apartment,4,4,131,2001,1,0,0,0,1,1.8,Tarmac,289500
Kicukiro,Standalone Villa,5,5,123,2014,0,0,0,1,0,4.0,Gravel,310100
Nyarugenge,Townhouse,2,2,50,2009,0,1,0,0,0,0.6,Tarmac,267000
Kicukiro,Standalone Villa,3,2,113,1996,0,1,0,0,0,4.8,Tarmac,301400
Gasabo,Townhouse,4,4,141,2018,1,0,0,1,1,28.1,Gravel,259600
Huye,Apartment,4,4,134,2018,0,0,0,1,0,8.2,Dirt,106800
Musanze,Bungalow,3,2,87,2002,1,1,0,1,0,1.3,Tarmac,163700
Gasabo,Standalone Villa,3,3,91,1992,1,0,0,0,1,2.5,Tarmac,353800
Rubavu,Townhouse,3,2,88,1991,0,1,0,1,0,0.5,Tarmac,153700
Kicukiro,Apartment,4,3,136,2005,0,1,0,0,0,1.6,Tarmac,243000
Rubavu,Apartment,4,4,106,2019,1,1,1,0,0,5.4,Tarmac,188400
Musanze,Townhouse,2,1,47,1995,0,0,0,1,0,3.4,Gravel,121500
Kicukiro,Bungalow,3,3,105,1996,1,1,0,1,0,1.8,Gravel,233700
Gasabo,Apartment,5,5,149,1994,1,1,0,0,0,1.3,Tarmac,273700
Gasabo,Apartment,4,4,140,1996,0,1,0,0,1,8.5,Gravel,235000
Kicukiro,Standalone Villa,5,5,139,2023,0,0,0,0,0,6.5,Tarmac,324900
Nyarugenge,Apartment,4,3,119,2021,0,1,0,1,0,14.8,Tarmac,264000
Gasabo,Apartment,3,2,76,2002,1,1,0,1,0,1.6,Tarmac,207300
Gasabo,Townhouse,3,3,90,2019,0,1,0,0,0,15.1,Tarmac,240400
Musanze,Bungalow,3,3,67,2014,1,1,0,1,1,6.9,Tarmac,149300
Huye,Apartment,2,1,52,2010,1,0,0,0,1,2.5,Gravel,111500
Kicukiro,Standalone Villa,3,3,68,2010,1,1,0,0,1,2.6,Gravel,304800
Gasabo,Apartment,4,4,130,2017,0,0,0,1,0,4.0,Gravel,230000
Gasabo,Apartment,2,2,70,2009,1,1,0,1,0,4.9,Tarmac,220100
Gasabo,Apartment,4,3,94,2023,1,0,0,0,0,0.7,Tarmac,257700
Rubavu,Standalone Villa,3,3,110,1994,0,0,0,0,0,14.8,Gravel,148700
Gasabo,Apartment,5,4,187,2007,1,1,0,0,0,1.0,Tarmac,299700
Nyarugenge,Standalone Villa,1,1,40,2000,1,0,0,1,1,5.3,Gravel,298800
Gasabo,Apartment,2,2,50,2006,1,1,0,0,0,3.9,Gravel,202700
Nyarugenge,Apartment,3,3,132,2011,0,1,0,1,1,5.7,Gravel,263100
Nyarugenge,Apartment,2,1,40,2009,1,0,0,0,0,17.5,Tarmac,191700
Musanze,Bungalow,4,4,120,1995,0,0,0,0,0,36.1,Dirt,72000
